date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2014-01-14,Andy Murray,Go Soeda,,,RH,RH,M
2014-01-14,Marin Cilic,Marcel Granollers,,,RH,RH,M
2014-01-14,Gael Monfils,Ryan Harrison,,,RH,RH,M
2014-01-14,Rafael Nadal,Bernard Tomic,,,LH,RH,M
2014-01-15,Tomas Berdych,Kenny De Schepper,,,RH,LH,M
2014-01-15,Damir Dzumhur,Ivan Dodig,,,RH,RH,M
2014-01-15,Florian Mayer,Mikhail Youzhny,,,RH,RH,M
2014-01-15,Richard Gasquet,Nikolay Davydenko,,,RH,RH,M
2014-01-15,Jerzy Janowicz,Pablo Andujar,,,RH,RH,M
2014-01-15,David Ferrer,Adrian Mannarino,,,RH,LH,M
2014-01-15,Tommy Robredo,Julien Benneteau,,,RH,RH,M
2014-01-15,Novak Djokovic,Leonardo Mayer,,,RH,RH,M
2014-01-15,Denis Istomin,Dmitry Tursunov,,,RH,RH,M
2014-01-15,Sam Querrey,Ernests Gulbis,,,RH,RH,M
2014-01-15,Kevin Anderson,Dominic Thiem,,,RH,RH,M
2014-01-15,Fabio Fognini,Jarkko Nieminen,,,RH,LH,M
2014-01-15,Stan Wawrinka,Alejandro Falla,,,RH,LH,M
2014-01-15,Vasek Pospisil,Matthew Ebden,,,RH,RH,M
2014-01-16,Kei Nishikori,Dusan Lajovic,,,RH,RH,M
2014-01-16,Donald Young,Andreas Seppi,,,LH,RH,M
2014-01-16,Martin Klizan,Blaz Rola,,,LH,LH,M
2014-01-16,Stephane Robert,Michal Przysiezny,,,RH,RH,M
2014-01-16,Roger Federer,Blaz Kavcic,,,RH,RH,M
2014-01-16,Rafael Nadal,Thanasi Kokkinakis,,,LH,RH,M
2014-01-16,Gilles Simon,Marin Cilic,,,RH,RH,M
2014-01-16,Feliciano Lopez,Michael Berrer,,,LH,LH,M
2014-01-16,Teymuraz Gabashvili,Fernando Verdasco,,,RH,LH,M
2014-01-16,Gael Monfils,Jack Sock,,,RH,RH,M
2014-01-16,Andy Murray,Vincent Millot,,,RH,LH,M
2014-01-16,Benoit Paire,Nick Kyrgios,,,RH,RH,M
2014-01-16,Stan Wawrinka,Vasek Pospisil,,,RH,RH,M
2014-01-17,Florian Mayer,Jerzy Janowicz,,,RH,RH,M
2014-01-17,David Ferrer,Jeremy Chardy,,,RH,RH,M
2014-01-17,Tomas Berdych,Damir Dzumhur,,,RH,RH,M
2014-01-17,Tommy Robredo,Richard Gasquet,,,RH,RH,M
2014-01-17,Fabio Fognini,Sam Querrey,,,RH,RH,M
2014-01-17,Novak Djokovic,Denis Istomin,,,RH,RH,M
2014-01-18,Stephane Robert,Martin Klizan,,,RH,LH,M
